"","SAT","前百分之十","接受率","师生比","费用","毕业率"
"哈弗大学",14,91,14,11,39.525,97
"普林斯顿大学",13.75,91,14,8,30.22,95
"耶鲁大学",13.75,95,19,11,43.514,96
"斯坦福大学",13.6,90,20,12,36.45,93
"麻省理工学院",13.8,94,30,10,34.87,91
"杜克大学",13.15,90,30,12,31.585,95
"加州理工学院",14.15,100,25,6,63.575,81
"达特茅斯大学",13.4,89,23,10,32.162,95
"布朗大学",13.1,89,22,13,22.704,94
"琼斯霍普金斯大学",13.05,75,44,7,58.691,87
"芝加哥大学",12.9,75,50,13,38.38,87
"宾夕法尼亚大学",12.85,80,36,11,27.553,90
"康奈尔大学",12.8,83,33,13,21.864,90
"西北大学",12.6,85,39,11,28.052,89
"哥伦比亚大学",13.1,76,24,12,31.51,88
"诺特丹大学",12.55,81,42,13,15.122,94
"弗吉尼亚大学",12.25,77,44,14,13.349,92
"乔治敦大学",12.55,74,24,12,20.126,92
"卡耐基梅隆大学",12.6,62,59,9,25.026,72
"密歇根大学",11.8,65,68,16,15.47,85
"加州大学伯克利分校",12.4,95,40,17,15.14,78
"威斯康星大学",10.85,40,69,15,11.857,71
"宾州大学",10.81,38,54,18,10.185,80
"普度大学",10.05,28,90,19,9.066,69
"得克萨斯A&M大学",10.75,49,67,25,8.704,67
